parameter,coef
(Intercept),15.48935535
h(oxygen_flow_stn2-2.6),-12.3874455
h(2.6-oxygen_flow_stn2),-3.507295048
h(K..ppm.-41.9874),-0.067123857
h(0.8-ammonia_pump_flow_1)*h(41.9874-K..ppm.),0.182547337
h(2.6-oxygen_flow_stn2)*h(oxygen_flow_stn4-3.1),-1.067531388
h(2.6-oxygen_flow_stn2)*h(3.1-oxygen_flow_stn4),-0.110346831
h(2.6-oxygen_flow_stn2)*h(oxygen_flow_stn3-3.6),-0.433069245
h(2.6-oxygen_flow_stn2)*h(3.6-oxygen_flow_stn3),-0.131424339
h(magnesium.potassium_flow-2.1),-5.382652365
h(2.1-magnesium.potassium_flow),1.975574638
h(oxygen_flow_stn2-2.9),20.74796257
h(NH4.Productivity..kg.DCW.h.-0.805995),-0.969980848
h(0.805995-NH4.Productivity..kg.DCW.h.),-33.96864977
h(2.6-oxygen_flow_stn2)*h(NH4.Productivity..kg.DCW.h.-0.871884),0.185716876
h(2.6-oxygen_flow_stn2)*h(0.871884-NH4.Productivity..kg.DCW.h.),12.16286732
h(spare_dosing_pump_flow-2.3),-0.779394322
h(2.3-spare_dosing_pump_flow),-1.973834078
h(phosphoric_acid_flow-0.9)*h(magnesium.potassium_flow-2.1),11.82635283
h(dissolved_oxygen_at_stn1-1),-42.20424427
h(1-dissolved_oxygen_at_stn1),-4.070618112
h(ammonia_pump_flow_1-0.8)*h(oxygen_pressure_to_fermentor_loop_mixture-7.1)*h(41.9874-K..ppm.),0.987155422
h(ammonia_pump_flow_1-0.8)*h(7.1-oxygen_pressure_to_fermentor_loop_mixture)*h(41.9874-K..ppm.),1.455272726
h(oxygen_flow_stn4-2.5)*h(0.9-phosphoric_acid_flow)*h(magnesium.potassium_flow-2.1),94.64858026
h(2.5-oxygen_flow_stn4)*h(0.9-phosphoric_acid_flow)*h(magnesium.potassium_flow-2.1),116.07494
h(1-dissolved_oxygen_at_stn1)*h(0.6-phosphoric_acid_flow),-1.507129112
h(1-dissolved_oxygen_at_stn1)*h(oxygen_flow_stn3-4.1)*h(phosphoric_acid_flow-0.6),-6.601677179
h(1-dissolved_oxygen_at_stn1)*h(4.1-oxygen_flow_stn3)*h(phosphoric_acid_flow-0.6),-13.149115
h(2.6-oxygen_flow_stn2)*h(calcium_chloride_flow-0.1)*h(0.871884-NH4.Productivity..kg.DCW.h.),21.18143252
h(2.6-oxygen_flow_stn2)*h(0.1-calcium_chloride_flow)*h(0.871884-NH4.Productivity..kg.DCW.h.),-39.7454849
h(0.1-dissolved_oxygen_at_stn1)*h(ammonia_pump_flow_1-0.8)*h(41.9874-K..ppm.),6.735844103
h(2.6-oxygen_flow_stn2)*h(3.1-oxygen_flow_stn4)*h(O2_Ch4_ratio.staion4-3.47059),0.008424155
h(2.6-oxygen_flow_stn2)*h(3.1-oxygen_flow_stn4)*h(3.47059-O2_Ch4_ratio.staion4),0.082588621
h(2.6-oxygen_flow_stn2)*h(spare_dosing_pump_flow-0.3)*h(0.871884-NH4.Productivity..kg.DCW.h.),-11.81780724
h(2.6-oxygen_flow_stn2)*h(0.3-spare_dosing_pump_flow)*h(0.871884-NH4.Productivity..kg.DCW.h.),6.356614048
h(oxygen_flow_stn3-1.1)*h(41.9874-K..ppm.),-0.022449998
h(1.1-oxygen_flow_stn3)*h(41.9874-K..ppm.),-0.067472887
h(dissolved_oxygen_at_stn1-1)*h(2.6-oxygen_flow_stn2),16.10775208
h(1-dissolved_oxygen_at_stn1)*h(2.6-oxygen_flow_stn2),1.557722351
h(oxygen_flow_stn1-9.1)*h(2.6-oxygen_flow_stn2),-1.18633599
h(9.1-oxygen_flow_stn1)*h(2.6-oxygen_flow_stn2),-0.116885053
h(oxygen_flow_stn2-3)*h(41.9874-K..ppm.),-0.685701917
h(oxygen_flow_stn2-3)*h(26.816-Final.OD)*h(41.9874-K..ppm.),0.05142657
h(1-dissolved_oxygen_at_stn1)*h(calcium_chloride_flow-0.8),-13.55521961
h(1-dissolved_oxygen_at_stn1)*h(NH4.Offline..ppm.-8.97664),-0.172645603
h(1-dissolved_oxygen_at_stn1)*h(8.97664-NH4.Offline..ppm.),-0.074137429
