"","parameter","coef"
"(Intercept)","(Intercept)",5.49332215748072
"h(2.6-oxygen_flow_stn2)","h(2.6-oxygen_flow_stn2)",-0.671086384700768
"h(42.0204-K__ppm_)","h(42.0204-K__ppm_)",-0.0249922767325373
"h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)","h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)",-0.247993064544656
"h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)","h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)",0.60442621114988
"h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)","h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)",-1.73202127616989
"h(3.1-oxygen_flow_stn4)*h(2.6-oxygen_flow_stn2)","h(3.1-oxygen_flow_stn4)*h(2.6-oxygen_flow_stn2)",0.546590933292754
"h(2.6-oxygen_flow_stn2)*h(oxygen_flow_stn3-3.6)","h(2.6-oxygen_flow_stn2)*h(oxygen_flow_stn3-3.6)",-0.461946164837257
"h(2.6-oxygen_flow_stn2)*h(3.6-oxygen_flow_stn3)","h(2.6-oxygen_flow_stn2)*h(3.6-oxygen_flow_stn3)",-0.149598763625365
"h(2.6-oxygen_flow_stn2)*h(phosphoric_acid_flow-0.2)*h(3.6-oxygen_flow_stn3)","h(2.6-oxygen_flow_stn2)*h(phosphoric_acid_flow-0.2)*h(3.6-oxygen_flow_stn3)",-0.556665134568577
"h(2.6-oxygen_flow_stn2)*h(0.2-phosphoric_acid_flow)*h(3.6-oxygen_flow_stn3)","h(2.6-oxygen_flow_stn2)*h(0.2-phosphoric_acid_flow)*h(3.6-oxygen_flow_stn3)",-0.750543543766198
"h(oxygen_flow_stn2-2.9)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)","h(oxygen_flow_stn2-2.9)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)",1.82914033488274
"h(2.9-oxygen_flow_stn2)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)","h(2.9-oxygen_flow_stn2)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)",0.0905896634763523
"h(oxygen_flow_stn2-2.6)*h(phosphoric_acid_flow-0.6)","h(oxygen_flow_stn2-2.6)*h(phosphoric_acid_flow-0.6)",-79.0319075604899
"h(oxygen_flow_stn2-2.6)*h(0.6-phosphoric_acid_flow)","h(oxygen_flow_stn2-2.6)*h(0.6-phosphoric_acid_flow)",-16.6434652738177
"h(oxygen_flow_stn2-2.9)","h(oxygen_flow_stn2-2.9)",9.42301291027207
"h(oxygen_flow_stn2-2.6)*h(magnesium_potassium_flow-1.9)","h(oxygen_flow_stn2-2.6)*h(magnesium_potassium_flow-1.9)",14.0743974980403
"h(oxygen_flow_stn2-2.6)*h(1.9-magnesium_potassium_flow)","h(oxygen_flow_stn2-2.6)*h(1.9-magnesium_potassium_flow)",21.0775147352922
"h(LEL____-3.97888)*h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)","h(LEL____-3.97888)*h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)",-0.217929903348424
"h(3.97888-LEL____)*h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)","h(3.97888-LEL____)*h(42.0204-K__ppm_)*h(0.8-ammonia_pump_flow_1)",-0.151584122083239
"h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)*h(LEL____-8.38574)","h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)*h(LEL____-8.38574)",1.3732802069181
"h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)*h(8.38574-LEL____)","h(oxygen_flow_stn4-3.1)*h(2.6-oxygen_flow_stn2)*h(8.38574-LEL____)",0.895583721581435
"h(oxygen_flow_stn2-3)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)","h(oxygen_flow_stn2-3)*h(42.0204-K__ppm_)*h(ammonia_pump_flow_1-0.8)",-2.51268403484683
"h(2.6-oxygen_flow_stn2)*h(ammonia_pump_flow_2-0.6)","h(2.6-oxygen_flow_stn2)*h(ammonia_pump_flow_2-0.6)",-1.88258104600605
"h(2.5-oxygen_flow_stn4)","h(2.5-oxygen_flow_stn4)",-1.48187119647446
"h(2.6-oxygen_flow_stn2)*h(dissolved_oxygen_at_stn1-1)","h(2.6-oxygen_flow_stn2)*h(dissolved_oxygen_at_stn1-1)",-0.0404641251927651
"h(2.6-oxygen_flow_stn2)*h(1-dissolved_oxygen_at_stn1)","h(2.6-oxygen_flow_stn2)*h(1-dissolved_oxygen_at_stn1)",-0.45800569305551
"h(oxygen_flow_stn4-2.5)*h(1.6-oxygen_flow_stn3)","h(oxygen_flow_stn4-2.5)*h(1.6-oxygen_flow_stn3)",37.1296574975413
