"","x"
"NH4.Productivity..kg.DCW.h.",53.2403398888917
"O2_Ch4_ratio.staion5",41.4420141814337
"LEL_in_offgas",39.9908849861327
"O2_Ch4_ratio.staion4",37.9719197189356
"dissolved_oxygen_at_stn4",37.233282446135
"dissolved_oxygen_at_stn2",37.1980033564693
"vessel",34.9739208840056
"methane_flow_stn2",34.0640639972699
"Productivity..kg.DCW.h.",30.7332494486612
"oxygen_flow_stn2",28.693588757161
"oxygen_flow_stn4",28.6403117047712
"LEL....",27.6926350675011
"dissolved_oxygen_at_stn1",24.5042112976233
"pH_at_stn1",23.9683873603167
"oxygen_totaliser",23.7891583208026
"Methane_totalier",22.6510609430497
"NH3_online_reading",22.5567022292812
"DCW.CPI..g.L.",22.148529532056
"methane_flow_stn4",22.1098539537491
"phosphoric_acid_flow",21.9207381039559
"Final.OD",21.4813827737394
"K..ppm.",19.7790837182504
"methane_flow_stn3",19.3689204162715
"ammonia_pump_flow_1",19.2412700221228
"oxygen_flow_stn1",18.8645870570114
"pump_inlet",18.3830236130656
"pH_at_stn3",17.9868189515458
"O2_Ch4_ratio.staion2",17.1155842152629
"Level_on_the_seperator",16.5032440523142
"dissolved_oxygen_at_stn3",16.4397049627785
"pH_at_stn5",16.372753404744
"oxygen_flow_stn3",16.2611071954506
"magnesium.potassium_flow",15.9655204056182
"dissolved_oxygen_at_stn5",15.9032401855014
"methane_flow_stn1",15.6061650343143
"Cooling_Water_Return_for_Temped_System",14.6878639100268
"harvest_flow",13.9280945716182
"O2_Ch4_ratio.staion1",13.8680217065695
"CH4_in_offgas",13.7858293841327
"NH4.Offline..ppm.",13.030111798402
"oxygen_pressure_to_fermentor_loop_mixture",12.9479997325779
"trace_elements_flow",12.7265686487459
"optical_density",12.0270187847748
"CO2_in_offgas",12.0108913249454
"ammonia_totalier",11.0141639353426
"ammonia_pump_flow_2",10.4285544278591
"partial_pressure_.DP.",10.3138388289326
"ferrus_sulphate_flow",8.97723852489827
"Fermentor_fliud_to_ammonia_._OD_meter_L.h",8.86773567663057
"oxygen_flow_stn5",8.62699938910664
"Cooling_Loop_A_Broth_Return_to_Fermenter_mixer_",8.062244316678
"Tempered_Water_Temperature_before_Temped_water_cooler",8.05096763913413
"Offline.pH",7.61544940826795
"methane_pressure_to_fermentor_loop_mixture",6.98380860011645
"methane_flow_stn5",6.71287341172928
"spare_dosing_pump_flow",5.44026461967611
"Pressure_at_the_end_of_the_loop",4.69993718441229
"calcium_chloride_flow",4.68354912287809
"Cooling_loop_B_valve_opening",4.34602116991367
"O2_Ch4_ratio.staion3",4.03347076064008
"Tempered_Water_Temperature_after_Temped_water_cooler",3.87777110222595
"Cooling_Loop_B_Broth_Return_to_Fermenter_mixer_J1117",3.76702791549723
"sodium_hydroxide_flow",3.36402846307884
"Cooling_loop_A_valve_opening",2.99382535472981
