"","x"
"EFT_H",82.0381334719635
"phosphoric.acid.totaliser",66.2782592864359
"sodium.hydroxide.totaliser",52.4398902294733
"Do_Ch4_ratio.staion1",46.7211884996226
"oxygen.totaliser",37.8871921748202
"Methane.totalier",35.5301040357512
"dissolved.oxygen.at.stn3",24.4713771598488
"NH3.online.reading",22.6455118834589
"Cooling.Water.Return.for.Temped.System",22.2736853832066
"Cooling.loop.B.valve.opening..",19.2111546011913
"spare.dosing.pump.totaliser",17.7533088449254
"ferrus.sulphate.flow",17.5274175859807
"Cooling.loop.A.valve.opening..",17.524182348877
"trace.elements.flow",17.1302835999651
"Tempered.Water.Temperature.after.Temped.water.cooler",16.5179965295575
"Cooling.Loop.B.Broth.Return.to.Fermenter.mixer.J1117",16.2328314159126
"ferrous.sulphate.totaliser",15.8592369897014
"vent.flow",15.1711487048975
"total.air.flow",15.16016488174
"harvest.flow",14.8940604232231
"Tempered.Water.Temperature.before.Temped.water.cooler",14.8081900991369
"ammonia.pump.flow.2",14.4508967569559
"trace.elements.totaliser",14.4111137752313
"ammonia.totalier",13.2080283153982
"magnesium.potassium.flow",13.1918907181727
"CH4.in.offgas..",13.0128830522743
"oxygen..pressure.to.fermentor.loop.mixture",12.972153985814
"Cooling.Loop.A.Broth.Return.to.Fermenter.mixer",12.9175325623044
"Do_Ch4_ratio.staion5",12.7697907774154
"oxygen.flow.stn5",12.7163844743638
"methane.flow.stn5",12.5531556271387
"magnesium.potassium.totalier",12.3437274723538
"pH.at.stn1",12.0859830025662
"CO2.in.offgas..",12.0322956848165
"Fermentor.fliud.to.ammonia...OD.meter.L.h",11.187229921355
"oxygen.flow.stn1",11.0798479091105
"Do_Ch4_ratio.staion4",10.9514816184099
"ammonia.pump.flow.1",10.8281086891229
"phosphoric.acid.flow",10.787986600742
"dissolved.oxygen.at.stn4",10.6876131277808
"calcium.chloride.flow",9.93715488627708
"pH.at.stn5",9.09989626596323
"calcium.chloride.totaliser",8.69209249270087
"methane.flow.stn1",8.67762087972246
"pH.at.stn3",8.65018543003125
"methane.flow.stn4",8.09771143168771
"Pressure.at.the.end.of.the.loop",8.005953054506
"pump.outlet",7.92536270103462
"spare.dosing.pump.flow",7.77927925210486
"methane.flow.stn3",6.29775238651702
"oxygen.flow.stn3",6.1005549407626
"optical.density",5.96211942651971
"dissolved.oxygen.at.stn2",5.27449042822914
"methane..pressure.to.fermentor.loop.mixture",4.5839034685433
"Station.3.Loop.Temperature",4.36400030873086
"dissolved.oxygen.at.stn1",4.05837786995074
"vessel",3.65405411185074
"Station.5.Loop.Temperature",3.57142851906968
"pump.inlet",3.06081542524134
"LEL.in.offgas..",2.75064984891819
"Level.on.the.seperator",1.93768895056758
"sodium.hydroxide.flow",1.4920338397225
"partial.pressure..DP.",1.29102741142133
